gene_id	ranks.Parkin
ENSG00000106948	3.32455248954399
ENSG00000290365	3.32270468950602
ENSG00000127838	3.32187610887592
ENSG00000137274	3.32051444083283
ENSG00000174365	3.3140231770889
ENSG00000188130	3.31332602906765
ENSG00000101115	3.31178462212166
ENSG00000063660	3.31131528851064
ENSG00000307216	3.30892678152495
ENSG00000179477	3.30746929512094
ENSG00000124570	3.30731916895856
ENSG00000232520	3.30488504095743
ENSG00000175395	3.30383749521352
ENSG00000141485	3.30370114872774
ENSG00000171246	3.30273769149228
ENSG00000131669	3.30271712652835
ENSG00000235100	3.29820782878266
ENSG00000234409	3.29817178736107
ENSG00000170370	3.29372816280827
ENSG00000125821	3.29338978791072
ENSG00000142494	3.29212881544147
ENSG00000214517	3.29173445334004
ENSG00000225806	3.28349459581845
ENSG00000248540	3.2800531332467
ENSG00000138801	3.26918465199624
ENSG00000291123	3.2688867479816
ENSG00000112667	3.26754295283385
ENSG00000124134	3.26694235117858
ENSG00000157653	3.26420392556473
ENSG00000125652	3.25991159792592
ENSG00000198858	3.25948715835857
ENSG00000163682	3.2589711680633
ENSG00000137200	3.25856660380346
ENSG00000130226	3.25852567304383
ENSG00000168952	3.25615371049401
ENSG00000288993	3.25609068800378
ENSG00000232023	3.25545821450366
ENSG00000198689	3.25301020825496
ENSG00000185634	3.25194557953485
ENSG00000099769	3.25177215995377
ENSG00000155893	3.24449582234872
ENSG00000148834	3.24429591275007
ENSG00000149476	3.23604054071373
ENSG00000138696	3.23147378119619
ENSG00000120440	3.22728164691847
ENSG00000204271	3.22693384555213
ENSG00000251867	3.22610863633794
ENSG00000011638	3.22433955042826
ENSG00000129946	3.21582292441704
ENSG00000261613	3.21524268554944
ENSG00000124535	3.20982817270214
ENSG00000135929	3.2091247950889
ENSG00000085719	3.20884264178824
ENSG00000286009	3.20200011235942
ENSG00000162188	3.19695446026406
ENSG00000051523	3.1921987031019
ENSG00000176912	3.18941349280089
ENSG00000130517	3.18594571739641
ENSG00000231728	3.18252745457315
ENSG00000258561	3.18195796426755
ENSG00000157782	3.17882741486362
ENSG00000185189	3.17684003254632
ENSG00000135916	3.17493675365128
ENSG00000078304	3.17406936390041
ENSG00000041982	3.17376164331309
ENSG00000166441	3.16972350188365
ENSG00000184611	3.16909929305508
ENSG00000115286	3.1688968326224
ENSG00000100065	3.16375401771258
ENSG00000288551	3.1595589674117
ENSG00000130748	3.15788427069301
