gene_id	ranks.B
ENSG00000139438	5.80338404815231
ENSG00000146426	5.80272509244887
ENSG00000130348	5.79569870964393
ENSG00000255836	5.79450000842578
ENSG00000066135	5.79437488566954
ENSG00000134283	5.78973480155604
ENSG00000107021	5.78693687970524
ENSG00000157224	5.77464497207844
ENSG00000198625	5.75975990414953
ENSG00000125505	5.74318171181593
ENSG00000163472	5.74239894390556
ENSG00000198301	5.73900377304277
ENSG00000197841	5.73578230856305
ENSG00000198900	5.72712746524432
ENSG00000182831	5.7229563106946
ENSG00000076706	5.72253927494241
ENSG00000075391	5.71812345330681
ENSG00000169403	5.71788441006777
ENSG00000076356	5.71718386259512
ENSG00000083814	5.71360846954805
ENSG00000113532	5.71347191278067
ENSG00000185220	5.71307688088922
