gene_id	ranks
ENSG00000286721	3.72650585655013
ENSG00000137843	3.72579386933713
ENSG00000164414	3.7236470615867
ENSG00000183117	3.72195475181391
ENSG00000160469	3.72073057142291
ENSG00000026950	3.71805541122769
ENSG00000196704	3.71792925174365
ENSG00000279453	3.71649899708719
ENSG00000299712	3.71224556335029
ENSG00000065268	3.71048379620102
ENSG00000182580	3.71023538961592
ENSG00000226853	3.70858718424911
ENSG00000179772	3.70706635740268
ENSG00000079950	3.70311078427759
ENSG00000099849	3.70104560615654
ENSG00000225439	3.69858581316051
ENSG00000095397	3.69011686268997
ENSG00000152556	3.67923757043628
ENSG00000089335	3.67653685318966
ENSG00000248309	3.67256310145361
ENSG00000198720	3.66983353491335
ENSG00000179627	3.66821092002382
ENSG00000183044	3.66696335596951
ENSG00000284830	3.66469920261269
ENSG00000179388	3.66336198532496
ENSG00000180011	3.66225353660767
ENSG00000166503	3.65935178200862
ENSG00000133612	3.65932993958594
ENSG00000105698	3.65037355783026
ENSG00000101000	3.64895813872303
ENSG00000133606	3.64538595671371
ENSG00000136866	3.6448988658976
ENSG00000106392	3.64483023133342
ENSG00000161558	3.6431723250045
ENSG00000079102	3.64244681967252
ENSG00000242512	3.64090181284697
ENSG00000273226	3.63912521670078
ENSG00000162188	3.63109834502578
ENSG00000166257	3.62675692459661
ENSG00000238000	3.62673801088973
ENSG00000175691	3.62249156166442
ENSG00000180071	3.62222203117965
ENSG00000204044	3.61816123219384
ENSG00000100083	3.6113389540147
ENSG00000113327	3.60360475700969
ENSG00000172346	3.59804916872555
ENSG00000186732	3.59698303816387
ENSG00000108551	3.59581878384548
ENSG00000235162	3.59578280754041
ENSG00000232445	3.5932511567866
ENSG00000223573	3.5891157962992
ENSG00000114757	3.58197215006081
ENSG00000186487	3.57934834375068
ENSG00000291233	3.57311991501385
ENSG00000255389	3.56929844040525
ENSG00000291171	3.56747338571756
ENSG00000149295	3.56672706547333
ENSG00000129514	3.56570785055462
ENSG00000196071	3.5652318419941
ENSG00000237410	3.56209949943811
ENSG00000169918	3.55478054169532
ENSG00000297651	3.55343153810383
ENSG00000150907	3.55316093061037
ENSG00000183778	3.55313314757601
ENSG00000137817	3.55138842333599
ENSG00000073060	3.54973314391796
ENSG00000226067	3.54939110143856
ENSG00000148600	3.54908146770428
ENSG00000103257	3.54784591571341
ENSG00000101746	3.54269475488084
