#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04152	AMPK signaling pathway	6	120	1.11	1.09	3.23e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa05130	Pathogenic Escherichia coli infection	7	187	0.98	1.01	3.48e-05	9606.ENSP00000233154,9606.ENSP00000346671,9606.ENSP00000353864,9606.ENSP00000361423,9606.ENSP00000362680,9606.ENSP00000394560,9606.ENSP00000497733	NCK2,FYN,PAK3,ABL1,SRC,MAPK9,CDC42
hsa05010	Alzheimer disease	9	354	0.81	0.88	3.76e-05	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000381070,9606.ENSP00000394560,9606.ENSP00000428056,9606.ENSP00000495360,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,MAP2K7,MAPK9,PIK3R1,CTNNB1,PIK3CB
hsa00562	Inositol phosphate metabolism	5	72	1.25	1.15	4.02e-05	9606.ENSP00000263967,9606.ENSP00000265382,9606.ENSP00000366563,9606.ENSP00000482457,9606.ENSP00000501150	PIK3CA,PIP5K1B,PIK3CD,PLCG2,PIK3CB
hsa05164	Influenza A	6	163	0.97	0.89	0.00016	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,PIK3CD,PIK3R1,PIK3CB
hsa05416	Viral myocarditis	4	55	1.27	0.98	0.00026	9606.ENSP00000249071,9606.ENSP00000304283,9606.ENSP00000346671,9606.ENSP00000361423	RAC2,RAC3,FYN,ABL1
hsa04390	Hippo signaling pathway	5	154	0.92	0.71	0.0012	9606.ENSP00000295797,9606.ENSP00000356954,9606.ENSP00000363921,9606.ENSP00000379204,9606.ENSP00000495360	PRKCI,CCN2,PARD3,BMP7,CTNNB1
hsa04540	Gap junction	4	87	1.07	0.75	0.0014	9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000376345,9606.ENSP00000384675	EGFR,SRC,GRB2,SOS1
hsa05168	Herpes simplex virus 1 infection	8	478	0.63	0.56	0.0018	9606.ENSP00000222254,9606.ENSP00000262741,9606.ENSP00000263967,9606.ENSP00000362680,9606.ENSP00000364898,9606.ENSP00000366563,9606.ENSP00000428056,9606.ENSP00000501150	PIK3R2,PIK3R3,PIK3CA,SRC,SYK,PIK3CD,PIK3R1,PIK3CB
hsa04120	Ubiquitin mediated proteolysis	4	134	0.88	0.56	0.0063	9606.ENSP00000264033,9606.ENSP00000382423,9606.ENSP00000494162,9606.ENSP00000499037	CBL,MAP3K1,CBLC,CBLB
hsa04137	Mitophagy - animal	3	64	1.08	0.6	0.0069	9606.ENSP00000289104,9606.ENSP00000362680,9606.ENSP00000394560	MRAS,SRC,MAPK9
hsa04310	Wnt signaling pathway	4	154	0.82	0.5	0.0101	9606.ENSP00000249071,9606.ENSP00000304283,9606.ENSP00000394560,9606.ENSP00000495360	RAC2,RAC3,MAPK9,CTNNB1
hsa04215	Apoptosis - multiple species	2	30	1.23	0.5	0.0205	9606.ENSP00000172229,9606.ENSP00000394560	NGFR,MAPK9
hsa05216	Thyroid cancer	2	37	1.14	0.44	0.0298	9606.ENSP00000431418,9606.ENSP00000495360	NTRK1,CTNNB1
hsa05219	Bladder cancer	2	40	1.11	0.43	0.0340	9606.ENSP00000275493,9606.ENSP00000362680	EGFR,SRC
